F1	2001419815
F0	484500352
f1	385927840
f2	8815904
f3	1676208
f4	1161856
f5	1203344
f6	1410272
f7	1705632
f8	2060896
f9	2473200
f10	2926256
f11	3412960
f12	3909168
f13	4410624
f14	4788608
f15	5120752
f16	5298032
f17	5364128
f18	5273872
f19	5073680
f20	4763152
f21	4372832
f22	3914752
f23	3446432
f24	2952352
f25	2513920
f26	2080448
f27	1710208
f28	1371920
f29	1089984
f30	844784
f31	664960
f32	516352
f33	396816
f34	300192
f35	231584
f36	175776
f37	137072
f38	103888
f39	84384
f40	65440
f41	52640
f42	45328
f43	40016
f44	33312
f45	28448
f46	26416
f47	24256
f48	21664
f49	20000
f50	18352
f51	18080
f52	16688
f53	16576
f54	14544
f55	15920
f56	13024
f57	12736
f58	12336
f59	12224
f60	11920
f61	11072
f62	9776
f63	10256
f64	9584


Time taken = 157.754158 seconds
