F1	9309469837
F0	2016962816
f1	1697672192
f2	47397120
f3	13121024
f4	7874816
f5	6723072
f6	6525952
f7	6917888
f8	7405568
f9	7839488
f10	8456960
f11	9097728
f12	9528320
f13	10153472
f14	10660096
f15	11114496
f16	11553792
f17	11980800
f18	12279040
f19	12339968
f20	12348672
f21	11755776
f22	11409664
f23	10616320
f24	9705216
f25	8605440
f26	7547136
f27	6371072
f28	5377536
f29	4324096
f30	3409920
f31	2704896
f32	2092288
f33	1551360
f34	1139968
f35	877824
f36	632576
f37	470016
f38	344576
f39	289536
f40	226560
f41	188928
f42	157696
f43	162048
f44	135936
f45	135168
f46	126720
f47	125184
f48	110080
f49	112128
f50	97024
f51	100352
f52	98304
f53	85504
f54	87552
f55	84992
f56	77824
f57	76032
f58	65280
f59	68352
f60	64768
f61	65536
f62	58112
f63	51712
f64	66816


Time taken = 362.674548 seconds
