F1	6137486595
F0	2112722944
f1	1799707904
f2	45494784
f3	19360768
f4	16169984
f5	15920640
f6	16168448
f7	16704512
f8	17192960
f9	17514496
f10	17728512
f11	17327872
f12	16912128
f13	15692032
f14	14300160
f15	12496640
f16	10681856
f17	8765952
f18	6982912
f19	5414400
f20	4086272
f21	2940928
f22	2118656
f23	1504000
f24	1048320
f25	763136
f26	569344
f27	438784
f28	337152
f29	318464
f30	267264
f31	244736
f32	230912
f33	221184
f34	183296
f35	180736
f36	177408
f37	167680
f38	158720
f39	155648
f40	135424
f41	130816
f42	124160
f43	128000
f44	112128
f45	102656
f46	99328
f47	110848
f48	95488
f49	89600
f50	90368
f51	90368
f52	88832
f53	84480
f54	74752
f55	73216
f56	74496
f57	64256
f58	62720
f59	68608
f60	70656
f61	53760
f62	57600
f63	55296
f64	56064


Time taken = 388.912400 seconds
