F1	7723006639
F0	2148868928
f1	1827735872
f2	46427712
f3	15360000
f4	11109120
f5	10405696
f6	10623680
f7	11075904
f8	11657856
f9	12187456
f10	12824768
f11	13324032
f12	13859392
f13	14157952
f14	14362560
f15	14365056
f16	14073728
f17	13476608
f18	12508544
f19	11419264
f20	10112192
f21	8700672
f22	7261824
f23	5922624
f24	4675264
f25	3623040
f26	2772800
f27	2055424
f28	1496128
f29	1105856
f30	802112
f31	582464
f32	436928
f33	349824
f34	276352
f35	238336
f36	211264
f37	190144
f38	176320
f39	163968
f40	156992
f41	153088
f42	143424
f43	137344
f44	123328
f45	125440
f46	120128
f47	112192
f48	110976
f49	102720
f50	97664
f51	91648
f52	91776
f53	83712
f54	79616
f55	75840
f56	77632
f57	72448
f58	65920
f59	64896
f60	63872
f61	65856
f62	63488
f63	57152
f64	59712


Time taken = 430.041868 seconds
